agent_number,reproduction_counter,consume_counter,sickness_counter,covered_distance,expelled,parent_A,parent_B,Kondition,Visibilityrange,Tribe,Resistance,Metabolism,Intelligent,Aggressive
1,2,0,0,0,1,,,2,1,2,2,2,True,False
2,0,0,0,0,0,,,2,1,2,2,3,True,False
3,9,3,0,0,0,,,3,2,1,3,1,False,True
4,0,1,0,0,2,,,1,3,3,2,3,True,False
5,2,1,0,0,1,,,3,3,1,2,1,True,False
6,0,1,0,0,1,,,1,1,2,2,2,True,False
7,0,1,0,0,0,,,2,1,3,3,3,False,True
8,6,0,0,0,1,,,1,1,3,3,1,True,False
9,0,2,0,0,1,,,2,2,2,1,1,True,False
10,2,2,0,0,0,,,2,2,1,1,2,False,True
11,2,0,0,0,0,5,10,1,1,1,0,0,True,False
12,0,0,0,0,1,10,5,1,1,1,0,0,True,False
1,0,1,0,0,0,,,2,3,3,1,2,False,True
2,0,2,1,0,0,,,2,1,3,2,3,False,True
3,0,0,0,0,0,,,1,3,3,1,3,True,False
4,0,0,0,0,0,,,2,1,3,2,1,False,True
5,2,0,0,0,0,,,3,2,2,1,1,True,False
6,1,2,1,0,0,,,3,3,2,1,2,False,True
7,0,1,1,0,0,,,2,2,1,2,1,False,True
8,4,0,0,0,3,,,2,1,1,3,3,True,False
9,2,0,0,0,0,,,3,3,1,2,1,True,False
10,0,2,0,0,0,,,2,1,3,3,2,False,True
13,0,0,0,0,0,1,9,1,1,2,1,0,False,True
14,0,0,0,0,0,8,11,0,0,1,1,0,True,False
15,0,0,0,0,0,9,1,1,0,2,1,0,True,False
16,0,0,0,0,0,8,3,0,0,3,1,0,True,False
17,2,0,0,0,0,11,8,0,0,1,0,0,True,False
18,0,0,0,0,0,6,8,0,1,2,1,1,True,False
19,2,0,0,0,0,3,8,0,0,3,1,0,True,False
20,0,0,0,0,0,17,19,0,0,1,0,0,False,True
21,0,0,0,0,0,3,8,1,0,3,1,0,False,True
22,2,0,0,0,0,19,17,0,0,1,0,0,False,True
23,1,0,0,0,0,3,8,1,0,1,1,0,True,False
24,3,0,0,0,0,5,22,1,0,2,0,0,True,False
25,0,0,0,0,0,3,8,0,0,3,1,0,False,True
26,0,0,0,0,0,3,24,1,0,1,0,0,True,False
27,0,0,0,0,0,23,8,0,0,1,1,0,False,True
28,0,0,0,0,0,24,3,0,0,1,0,0,True,False
29,0,0,0,0,0,3,24,1,0,2,0,0,False,True
30,0,0,0,0,0,22,5,1,0,2,0,0,False,True
31,0,0,0,0,0,3,8,1,0,1,1,0,True,False
